date,transaction_number,acquiring_party,acquired_party,acquired_entities,title
2026-03-24,20260999,Blackstone Private Equity Strategies Fund L.P.,"Odyssey Investment Partners Fund VI, LP","Home Services Parent, Inc","20260999: Blackstone Private Equity Strategies Fund L.P.; Odyssey Investment Partners Fund VI, LP"
2026-03-24,20261001,"Green Equity Investors VI, L.P.","Mister Car Wash, Inc.","Mister Car Wash, Inc.","20261001: Green Equity Investors VI, L.P.; Mister Car Wash, Inc."
2026-03-24,20260983,"American Pacific Group Fund II, L.P.",Pierre-Edouard Sterin,13 Scents Inc.,"20260983: American Pacific Group Fund II, L.P.; Pierre-Edouard Sterin"
2026-03-24,20260975,"BSP Newco, Inc.","Bearing Insurance Group, LLC","Bearing Insurance Group, LLC","20260975: BSP Newco, Inc.; Bearing Insurance Group, LLC"
2026-03-24,20260978,"Octane Topco, L.P.","Jopari Solutions, Inc.","Jopari Solutions, Inc.","20260978: Octane Topco, L.P.; Jopari Solutions, Inc."
2026-03-23,20260918,"Kodiak Gas Services, Inc.","Louisiana Machinery Holdings, L.L.C.","Distributed Power Solutions, L.L.C.","20260918: Kodiak Gas Services, Inc.; Louisiana Machinery Holdings, L.L.C."
2026-03-23,20260919,"Kodiak Gas Services, Inc.","Mustang Tractor & Equipment Company, Ltd.","Distributed Power Solutions, L.L.C.","20260919: Kodiak Gas Services, Inc.; Mustang Tractor & Equipment Company, Ltd."
2026-03-23,20260933,Eli Lilly and Company,"Innovent Biologics, Inc.","Innovent Biologics (SuZhou) Co., Ltd.; Fortvita Biologics Inc.; Fortvita Biologics (USA), Inc.; Fortvita Biologics (Singapore) Pte. Ltd.","20260933: Eli Lilly and Company; Innovent Biologics, Inc."
2026-03-19,20252003,"Nexstar Media Group, Inc.",TEGNA Inc.,TEGNA Inc.,"20252003: Nexstar Media Group, Inc.; TEGNA Inc."
2026-03-17,20261010,Compagnie Generale Des Etablissements Michelin SCA,Bridgepoint Europe IV Investments (2) S.a r.l.,FGI Acquisition Corp.; The Flexitallic Group SAS,20261010: Compagnie Generale Des Etablissements Michelin SCA; Bridgepoint Europe IV Investments (2) S.a r.l.
2026-03-17,20260986,"Gigafund 0.25, LP",Elon Musk,Space Exploration Technologies Corp.,"20260986: Gigafund 0.25, LP; Elon Musk"
2026-03-17,20260991,Smiths Group Plc.,Humberto Suarez 2010 Irrevocable Trust,Diesel Radiator Co.,20260991: Smiths Group Plc.; Humberto Suarez 2010 Irrevocable Trust
2026-03-17,20260995,"H.I.G. Middle Market LBO Fund IV, L.P.","Inventus Power Holdings, LLC","Inventus Power Holdings, Inc.; Inventus Qatar JV Holdings, Inc.","20260995: H.I.G. Middle Market LBO Fund IV, L.P.; Inventus Power Holdings, LLC"
2026-03-17,20260998,"Audax Private Equity Fund VII-B, L.P.","D. Aerospace, LLC","S3 AeroDefense, LLC","20260998: Audax Private Equity Fund VII-B, L.P.; D. Aerospace, LLC"
2026-03-17,20261003,"Saltchuk Holdings, Inc.",Great Lakes Dredge & Dock Corporation,Great Lakes Dredge & Dock Corporation,"20261003: Saltchuk Holdings, Inc.; Great Lakes Dredge & Dock Corporation"
2026-03-17,20260973,Blue Bird Corporation,Andre Girardin,Girardin MiniBus JV Inc.; Girardin MiniBus JV 2 USA Inc.,20260973: Blue Bird Corporation; Andre Girardin
2026-03-17,20260977,EQT AB,Jeremy Coller,CICAP Limited,20260977: EQT AB; Jeremy Coller
2026-03-17,20260980,"Haveli VC Gaming Fund I, L.P.","General Atlantic Partners AIV-1 B, L.P.","Budge Canadian Parent, ULC","20260980: Haveli VC Gaming Fund I, L.P.; General Atlantic Partners AIV-1 B, L.P."
2026-03-17,20260981,Gee LLC,Robert H. Tuttle and Maria D. Hummer-Tuttle,"TCAG, Inc.; Tuttle Partners Reinsurance Company IV, Inc.; T-C Partners Reinsurance Company IV, Inc.; CT Properties, LLC; JVBM Properties, LLC",20260981: Gee LLC; Robert H. Tuttle and Maria D. Hummer-Tuttle
2026-03-17,20260959,Blackstone Energy Transition Partners IV L.P.,"Advanced Cooling Technologies, Inc.","Advanced Cooling Technologies, Inc.","20260959: Blackstone Energy Transition Partners IV L.P.; Advanced Cooling Technologies, Inc."
2026-03-17,20260963,"Olympus Growth Fund VIII, L.P.",Michael Glick,"L.A. Specialty Produce Co., LLC; One Percent to End Hunger, Inc.","20260963: Olympus Growth Fund VIII, L.P.; Michael Glick"
2026-03-17,20260967,Generac Holdings Inc.,Lawrence E. Tangel,"Enercon Engineering, LLC",20260967: Generac Holdings Inc.; Lawrence E. Tangel
2026-03-17,20260920,"Lone Star Fund XII, L.P.","AG AGI Aggregator Holdings, L.P.","AGI Parent, Inc.","20260920: Lone Star Fund XII, L.P.; AG AGI Aggregator Holdings, L.P."
2026-03-17,20260946,"Samsung Electronics Co., Ltd.",ZF Friedrichshafen AG,ZF Capri HoldCo GmbH,"20260946: Samsung Electronics Co., Ltd.; ZF Friedrichshafen AG"
2026-03-17,20260948,Omnispace LLC,"Lynk Global, Inc.","Lynk Global, Inc.","20260948: Omnispace LLC; Lynk Global, Inc."
2026-03-17,20260949,"Lynk Global, Inc.",Omnispace LLC,Omnispace LLC,"20260949: Lynk Global, Inc.; Omnispace LLC"
2026-03-17,20260899,Peak Rock Capital Fund IV LP,Underwriters Laboratories Inc.,UL Verification Services Inc.,20260899: Peak Rock Capital Fund IV LP; Underwriters Laboratories Inc.
2026-03-13,20260890,Allegiant Travel Company,"Sun Country Airlines Holdings, Inc.","Sun Country Airlines Holdings, Inc.","20260890: Allegiant Travel Company; Sun Country Airlines Holdings, Inc."
2026-03-11,20260934,"DFJ Growth V, L.P.",Elon R. Musk,Space Exploration Technologies Corp.,"20260934: DFJ Growth V, L.P.; Elon R. Musk"
2026-02-10,20260736,Sanofi,Jian Peng,"Earendil Labs, Inc.",20260736: Sanofi; Jian Peng
2026-02-10,20260744,"Japan Petroleum Exploration Co., Ltd.",Verdad Resources Parent LLC,Verdad Resources Intermediate Holdings LLC,"20260744: Japan Petroleum Exploration Co., Ltd.; Verdad Resources Parent LLC"
2026-02-10,20260726,"Cable One, Inc.",Mega Broadband Investments Holdings LLC,Mega Broadband Investments Holdings LLC,"20260726: Cable One, Inc.; Mega Broadband Investments Holdings LLC"
2026-02-10,20260720,"GC Ferry Parent, L.P.","Diamond Hill Investment Group, Inc.","Diamond Hill Investment Group, Inc.","20260720: GC Ferry Parent, L.P.; Diamond Hill Investment Group, Inc."
2026-02-10,20260723,"Acrisure Holdings, Inc",Canopius Group Limited,Vave Holdings Limited,"20260723: Acrisure Holdings, Inc; Canopius Group Limited"
2026-02-10,20260725,Amrize Ltd,"AB-LSV Partners II (Delaware), L.P.","PB Materials Holdings, Inc. (PBM)","20260725: Amrize Ltd; AB-LSV Partners II (Delaware), L.P."
2026-02-10,20260716,Altor Holding VI AB,Bridgepoint Europe V Investments S.a r.l,Evac Holding Oy,20260716: Altor Holding VI AB; Bridgepoint Europe V Investments S.a r.l
2026-02-10,20260718,"Transformation Capital Fund III, L.P.","Grow Care, Inc.","Grow Care, Inc.","20260718: Transformation Capital Fund III, L.P.; Grow Care, Inc."
2026-02-10,20260719,"Transformation Capital Fund III-A, L.P.","Grow Care, Inc.","Grow Care, Inc.","20260719: Transformation Capital Fund III-A, L.P.; Grow Care, Inc."
2026-02-09,20260715,"L Catterton Middle Market, L.P.","Blue Sea Capital Fund I, L.P.","Concierge Health Acquisition, Inc.","20260715: L Catterton Middle Market, L.P.; Blue Sea Capital Fund I, L.P."
2026-02-09,20260707,"The Rise Fund III, LP",Cambridge Mobile Telematics Inc.,Cambridge Mobile Telematics Inc.,"20260707: The Rise Fund III, LP; Cambridge Mobile Telematics Inc."
2026-02-09,20260708,George W. LeMaitre,"LeMaitre Vascular, Inc.","LeMaitre Vascular, Inc.","20260708: George W. LeMaitre; LeMaitre Vascular, Inc."
2026-02-09,20260709,Madan Mohan and Manju Mohanka,AIPCF VI Indirect Investor AIV LP,"Moly-Cop JV Holdings LLC; Moly-Cop US Investments; Grinding Media, Inc.; Moly-Cop Global Holdings, Inc.",20260709: Madan Mohan and Manju Mohanka; AIPCF VI Indirect Investor AIV LP
2026-02-09,20260712,"Haveli Investments Software Fund I, L.P.",SirionLabs Pte. Ltd.,SirionLabs Pte. Ltd.,"20260712: Haveli Investments Software Fund I, L.P.; SirionLabs Pte. Ltd."
2026-02-09,20260695,Jefferies Financial Group Inc.,Brett R. Jefferson,"Hildene Holding Company, LLC",20260695: Jefferies Financial Group Inc.; Brett R. Jefferson
2026-02-09,20260698,Rivet Topco Limited,Simon Galbraith,Red Gate Software Group Limited,20260698: Rivet Topco Limited; Simon Galbraith
2026-02-09,20260703,"Cardinal Infrastructure Group, Inc.",Anthony L. Wood Jr.,"A.L. Grading Contractors, LLC","20260703: Cardinal Infrastructure Group, Inc.; Anthony L. Wood Jr."
2026-02-09,20260704,"Cardinal Infrastructure Group, Inc.",Benjamin A. Wood,"A.L. Grading Contractors, LLC","20260704: Cardinal Infrastructure Group, Inc.; Benjamin A. Wood"
2026-02-09,20260694,Jefferies Financial Group Inc.,"BTTF Capital, LLC","SILAC, Inc.","20260694: Jefferies Financial Group Inc.; BTTF Capital, LLC"
2026-02-09,20260676,"TRF Sagebrush, L.P.",StoneTurn Holdco LP,StoneTurn Holdco LP,"20260676: TRF Sagebrush, L.P.; StoneTurn Holdco LP"
2026-02-09,20260678,"Coursera, Inc.","Udemy, Inc.","Udemy, Inc.","20260678: Coursera, Inc.; Udemy, Inc."
2026-02-05,20260345,"Marvell Technology, Inc.","XConn Technologies Holdings, Ltd.","XConn Technologies Holdings, Ltd.","20260345: Marvell Technology, Inc.; XConn Technologies Holdings, Ltd."
2026-01-30,20251710,Performance Food Group Company,Thomas J. Henning,"Henning Brothers LLC; Cash-Wa Distributing Co. of Kearney, Inc.; Cash-Wa Distributing Co. of Fargo, LLC",20251710: Performance Food Group Company; Thomas J. Henning
2026-01-28,20260690,"The Resolute Fund VI, L.P.","Artemis Capital Partners III, LP","Sightline Edge Holdco, Inc.","20260690: The Resolute Fund VI, L.P.; Artemis Capital Partners III, LP"
2026-01-28,20260692,"Clayton, Dubilier & Rice Fund XI, L.P.","Audax Private Equity Fund V-A, L.P.","Colony Intermediate Holdings, Inc.","20260692: Clayton, Dubilier & Rice Fund XI, L.P.; Audax Private Equity Fund V-A, L.P."
2026-01-28,20260663,Valor Equity Partners VII L.P.,Elon R. Musk,X.AI Holdings Corp.,20260663: Valor Equity Partners VII L.P.; Elon R. Musk
2026-01-28,20260664,CV Consortio Fund L.P.,Elon R. Musk,X.AI Holdings Corp.,20260664: CV Consortio Fund L.P.; Elon R. Musk
2026-01-28,20260679,Onex Partners Leaf CV LP,Onex Baltimore Aggregator LP,Onex Baltimore Aggregator LP,20260679: Onex Partners Leaf CV LP; Onex Baltimore Aggregator LP
2026-01-28,20260687,"Wind Point Partners XI-A, L.P.",LJ Falcon Holdco LP,"LJ Falcon Intermediate Holdings, Inc.","20260687: Wind Point Partners XI-A, L.P.; LJ Falcon Holdco LP"
2026-01-28,20260657,"MasTec, Inc.","BCM Fund II, LP","UC Holding, Inc.","20260657: MasTec, Inc.; BCM Fund II, LP"
2026-01-28,20260660,Harbour Energy plc,Gerald A. Boelte Trust,"LLOG Exploration Company, L.L.C.",20260660: Harbour Energy plc; Gerald A. Boelte Trust
2026-01-28,20260661,Arctic Slope Regional Corporation,"AP VIII Aspen Holdings, L.P.","New Aspen Parent, Inc.","20260661: Arctic Slope Regional Corporation; AP VIII Aspen Holdings, L.P."
2026-01-28,20260662,Valor Equity Partners VII-B L.P.,Elon R. Musk,X.AI Holdings Corp.,20260662: Valor Equity Partners VII-B L.P.; Elon R. Musk
2026-01-28,20260650,Trane Technologies plc,The Santiago Trust,"Stellar Energy Americas, Inc.",20260650: Trane Technologies plc; The Santiago Trust
2026-01-28,20260651,Trane Technologies plc,Peter J. Gibson,"Stellar Energy Americas, Inc.",20260651: Trane Technologies plc; Peter J. Gibson
2026-01-28,20260607,Jorge Paulo Lemann,Newco,Bravo Newco LLC,20260607: Jorge Paulo Lemann; Newco
2026-01-28,20260635,Matrix IT Ltd.,Magic Software Enterprises Ltd.,Magic Software Enterprises Ltd.,20260635: Matrix IT Ltd.; Magic Software Enterprises Ltd.
2026-01-28,20260649,Coforge Limited,AI Global Investments (Cyprus) PCC Limited,"Encora Holdings Limited; Encora US Holdco, Inc.",20260649: Coforge Limited; AI Global Investments (Cyprus) PCC Limited
2026-01-28,20260604,"Eugenie Patri Sebastien EPS, SA",Newco,Bravo Newco LLC,"20260604: Eugenie Patri Sebastien EPS, SA; Newco"
2026-01-21,20260645,Herschend Family Entertainment Corporation,Gary Norton,"Silverwood, Inc.; Silverwood Lane, Inc.; Silverwood Sewer Plant, Inc.",20260645: Herschend Family Entertainment Corporation; Gary Norton
2026-01-21,20260576,Round Hill Music Encore Fund LP,Round Hill Music Royalty Fund II LP,Round Hill Music Royalty Fund II LP,20260576: Round Hill Music Encore Fund LP; Round Hill Music Royalty Fund II LP
2026-01-21,20260584,"ArcLight Energy Partners Fund VII, L.P.",IIF US Holding 2 LP,"KMC Thermo, LLC","20260584: ArcLight Energy Partners Fund VII, L.P.; IIF US Holding 2 LP"
2026-01-21,20260655,"PrimeFlight Investments, LP","Atlantic Street Capital III, LP","GAT Holdings, Inc.","20260655: PrimeFlight Investments, LP; Atlantic Street Capital III, LP"
2026-01-21,20251614,"Illumina, Inc.","Standard BioTools, Inc.","SomaLogic, Inc.; Sengenics Corporation LLC; Sengenics Corporation Pte Ltd","20251614: Illumina, Inc.; Standard BioTools, Inc."
2026-01-21,20260566,"Green Dot Acquisition Partners, LP",Green Dot Corporation,Green Dot LLC,"20260566: Green Dot Acquisition Partners, LP; Green Dot Corporation"
2026-01-21,20260573,David Lazovsky,"Marvell Technology, Inc.","Marvell Technology, Inc.","20260573: David Lazovsky; Marvell Technology, Inc."
2026-01-21,20260574,"Marvell Technology, Inc.","Celestial AI, Inc.","Celestial AI, Inc.","20260574: Marvell Technology, Inc.; Celestial AI, Inc."
2026-01-16,20260615,"Thunderbolt Topco Holdings, LP","OneSource Virtual, Inc.","OneSource Virtual, Inc.","20260615: Thunderbolt Topco Holdings, LP; OneSource Virtual, Inc."
2026-01-16,20260628,APi Group Corporation,"TRC CFP, LLC","CFP Holding Company, LLC","20260628: APi Group Corporation; TRC CFP, LLC"
2026-01-16,20260638,Cartesian Growth Corporation III,Factorial Inc.,Factorial Inc.,20260638: Cartesian Growth Corporation III; Factorial Inc.
2025-12-19,20260436,"Chubu Electric Power Co., Inc.",George Bishop,"GEP Haynesville II, LLC","20260436: Chubu Electric Power Co., Inc.; George Bishop"
2025-12-19,20260440,Eli Lilly and Company,ABL Bio Inc.,ABL Bio Inc.,20260440: Eli Lilly and Company; ABL Bio Inc.
2025-12-19,20260442,"Crane Harbor Sponsor, LLC",Xanadu Quantum Technologies Inc.,Xanadu Quantum Technologies Inc.,"20260442: Crane Harbor Sponsor, LLC; Xanadu Quantum Technologies Inc."
2025-12-19,20260444,"AP Pour Holdings, L.P.",Keurig Dr Pepper Inc.,Keurig Dr Pepper Inc.,"20260444: AP Pour Holdings, L.P.; Keurig Dr Pepper Inc."
2025-12-19,20260447,KKR Pour Aggregator L.P.,Keurig Dr Pepper Inc.,Keurig Dr Pepper Inc.,20260447: KKR Pour Aggregator L.P.; Keurig Dr Pepper Inc.
2025-12-19,20260430,"Tokyo Electric Power Company Holdings, Inc.","The Williams Companies, Inc.","South Mansfield E&P, LLC","20260430: Tokyo Electric Power Company Holdings, Inc.; The Williams Companies, Inc."
2025-12-19,20260431,"Chubu Electric Power Co., Inc.","The Williams Companies, Inc.","South Mansfield E&P, LLC","20260431: Chubu Electric Power Co., Inc.; The Williams Companies, Inc."
2025-12-19,20260433,"Tokyo Electric Power Company Holdings, Inc.",Margaret Woodward Molleston,"GEP Haynesville II, LLC","20260433: Tokyo Electric Power Company Holdings, Inc.; Margaret Woodward Molleston"
2025-12-19,20260434,"Tokyo Electric Power Company Holdings, Inc.",George Bishop,"GEP Haynesville II, LLC","20260434: Tokyo Electric Power Company Holdings, Inc.; George Bishop"
2025-12-19,20260435,"Chubu Electric Power Co., Inc.",Margaret Woodward Molleston,"GEP Haynesville II, LLC","20260435: Chubu Electric Power Co., Inc.; Margaret Woodward Molleston"
2025-12-19,20260424,"Project Everest Ultimate Parent, LLC","PROS Ultimate Parent, LP","PROS Parent, Inc.; Conga B2B US LLC; PROS Travel France SAS; PROS Bulgaria EOOD; PROS Travel Germany GmbH; Conga Ecuador S.A.S.; Conga B2B UK Ltd","20260424: Project Everest Ultimate Parent, LLC; PROS Ultimate Parent, LP"
2025-12-19,20260140,"Novacap International TMT VI Co-Investment (Igloo), L.P.",Integral Ad Science Holding Corp.,Integral Ad Science Holding Corp.,"20260140: Novacap International TMT VI Co-Investment (Igloo), L.P.; Integral Ad Science Holding Corp."
2025-12-19,20260204,Rayonier Inc.,PotlatchDeltic Corporation,PotlatchDeltic Corporation,20260204: Rayonier Inc.; PotlatchDeltic Corporation
2025-12-18,20260416,Rubicon Fund II LP,dMedClinical Company Limited,dMedClinical Company Limited,20260416: Rubicon Fund II LP; dMedClinical Company Limited
2025-12-18,20260420,Targa Resources Corp.,"EnCap Flatrock Midstream Fund III, L.P.","Stakeholder Midstream, LLC","20260420: Targa Resources Corp.; EnCap Flatrock Midstream Fund III, L.P."
2025-12-18,20260392,Marc Lore,"Sweetgreen, Inc.","Sweetgreen, Inc.; Spyce Food Co.","20260392: Marc Lore; Sweetgreen, Inc."
2025-12-18,20260400,Bridger Pipeline LLC,"Caliber MFC, LLC",Caliber Midstream Partners LLC,"20260400: Bridger Pipeline LLC; Caliber MFC, LLC"
2025-12-18,20260401,"Carronade Capital Master, LP",Viasat Inc.,Viasat Inc.,"20260401: Carronade Capital Master, LP; Viasat Inc."
2025-12-18,20260407,"Empath-Stratum, Inc.",AHP Orchards LLC,"1971 Tennessee Avenue North, LLC; Holdco LLC 2; Holdco LLC 1","20260407: Empath-Stratum, Inc.; AHP Orchards LLC"
2025-12-18,20260414,Scott Rudolph 2019 Business Trust,"Church & Dwight Co., Inc.",Church & Dwight Vitamin Manufacturing Co. LLC; Church & Dwight Canada Corp.; Church & Dwight (Australia) Pty. Ltd.; Church & Dwight Panama S.R.L.,"20260414: Scott Rudolph 2019 Business Trust; Church & Dwight Co., Inc."
2025-12-18,20260377,"Vista Equity Partners Fund VIII-A, L.P.",Nexthink SA,Nexthink SA,"20260377: Vista Equity Partners Fund VIII-A, L.P.; Nexthink SA"
2025-12-18,20260378,"Gemspring Capital Fund III, LP",TruWest Company LLC,Technology Recovery Group Ltd.,"20260378: Gemspring Capital Fund III, LP; TruWest Company LLC"
2025-12-18,20260379,Federation des caisses Desjardins du Quebec,Guardian Capital Group Limited,Guardian Capital Group Limited,20260379: Federation des caisses Desjardins du Quebec; Guardian Capital Group Limited
2025-12-18,20260381,SM Energy Company,"Civitas Resources, Inc.","Civitas Resources, Inc.","20260381: SM Energy Company; Civitas Resources, Inc."
2025-12-18,20260349,"KPS Special Situations Fund V, LP",Albemarle Corporation,Ketjen Corporation,"20260349: KPS Special Situations Fund V, LP; Albemarle Corporation"
2025-12-18,20260357,"Delta Air Lines, Inc.","Joby Aviation, Inc.","Joby Aviation, Inc.","20260357: Delta Air Lines, Inc.; Joby Aviation, Inc."
2025-12-18,20260375,"Palomar Holdings, Inc.","BCP Fund II, LP",The Gray Casualty & Surety Company,"20260375: Palomar Holdings, Inc.; BCP Fund II, LP"
2025-12-18,20260303,Zachary Horn,"Cable One, Inc.","Delta Communications, L.L.C.; Clearwave Fiber, LLC; Cable One, Inc.","20260303: Zachary Horn; Cable One, Inc."
2025-12-18,20260110,NVIDIA Corporation,Intel Corporation,Intel Corporation,20260110: NVIDIA Corporation; Intel Corporation
2025-12-18,20260267,Eric Boyko,"TuneIn Holdings, Inc.","TuneIn Holdings, Inc.","20260267: Eric Boyko; TuneIn Holdings, Inc."
2025-12-17,20260396,"Cameron Brokerage, LLC","The Anthony L. Johnson Revocable Trust u/a/d August 10, 2023","First Light Program Managers, LLC","20260396: Cameron Brokerage, LLC; The Anthony L. Johnson Revocable Trust u/a/d August 10, 2023"
2025-12-17,20260399,"The Andover Companies, Inc.",Cambridge Mutual Insurance Holding Company,Cambridge Mutual Insurance Holding Company; Cambridge Insurance Intermediate Holding Company,"20260399: The Andover Companies, Inc.; Cambridge Mutual Insurance Holding Company"
2025-12-17,20260418,Haymaker Acquisition Corp. 4,"Dothan Concrete Investors, LLC","Concrete Partners Holding, LLC","20260418: Haymaker Acquisition Corp. 4; Dothan Concrete Investors, LLC"
2025-12-17,20260427,"Carlyle Partners VIII Lux, S.C.Sp.",BASF SE,"BASF Coatings (Guandong) Co., Limited; BASF Coatings Espanola S.L.U.; BASF Coatings France SAS; BASF Coatings GmbH; BASF Coatings Inc.; BASF Coatings Japan LLC; BASF Coatings LLC; BASF Coatings Mexicana S.A. de C.V.; BASF Coatings Services (Pty.) Ltd; BASF Coatings Services SA; BASF Coatings Technology (Shanghai) Co., Ltd.; Chemetall Italia S.r.l..; Rockwood Specialties Group GmbH; Chemetall US, Inc.; Chemetall Mexicana, S.A. de C.V.","20260427: Carlyle Partners VIII Lux, S.C.Sp.; BASF SE"
2025-12-17,20260374,"Francisco Partners VII-A, L.P.",JAMF Holding Corp.,JAMF Holding Corp.,"20260374: Francisco Partners VII-A, L.P.; JAMF Holding Corp."
2025-12-17,20260385,Five Arrows Principal Investments IV SCSp SICAV-RAIF,"Accel-KKR Emerging Buyout Partners, LP",BMQR Intermediate Inc.,"20260385: Five Arrows Principal Investments IV SCSp SICAV-RAIF; Accel-KKR Emerging Buyout Partners, LP"
2025-12-17,20260387,Ryerson Holding Corporation,"Olympic Steel, Inc.","Olympic Steel, Inc.","20260387: Ryerson Holding Corporation; Olympic Steel, Inc."
2025-12-17,20260389,"KBR, Inc.",ORIX Corporation,"IX SWAT Holdings, LLC","20260389: KBR, Inc.; ORIX Corporation"
2025-12-17,20260390,"Endurance HoldingCo, LLC",ORIX Corporation,"IX SWAT Holdings, LLC","20260390: Endurance HoldingCo, LLC; ORIX Corporation"
2025-12-17,20260393,"Livewire Holdings, LP",BP I LM Aggregator LP,BP I LM Ridge Holdco LLC,"20260393: Livewire Holdings, LP; BP I LM Aggregator LP"
2025-12-17,20260338,"Kimmeridge Energy Engagement Partners III, LP",Devon Energy Corporation,Devon Energy Corporation,"20260338: Kimmeridge Energy Engagement Partners III, LP; Devon Energy Corporation"
2025-12-17,20260348,Solventum Corporation,Wilson Family Legacy Trust No. 1,Acera Surgical Inc.,20260348: Solventum Corporation; Wilson Family Legacy Trust No. 1
2025-12-17,20260351,Novartis AG,"Avidity Biosciences, Inc.","Avidity Biosciences, Inc.","20260351: Novartis AG; Avidity Biosciences, Inc."
2025-12-17,20260330,"Greenbriar Equity Fund VI, L.P.","REP eShip Holdings, L.P.","REP eShip Holdings, L.P.","20260330: Greenbriar Equity Fund VI, L.P.; REP eShip Holdings, L.P."
2025-12-17,20260336,"Excalibur WR Aggregator, L.P.","Excalibur Topco, L.P.","Excalibur Topco Holdings, L.P.","20260336: Excalibur WR Aggregator, L.P.; Excalibur Topco, L.P."
2025-12-17,20260312,"Mariana US Aggregator, L.P.","Aligned Energy Holdings, L.P.","Aligned Data Centers REIT, LLC; Aligned Data Centers, LLC","20260312: Mariana US Aggregator, L.P.; Aligned Energy Holdings, L.P."
